CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
002824100,ABT,Abbott Laboratories (US),841338,135730,95.16M,15.35M,+19.2%,0.28%
925652109,VICI,VICI Properties Inc,1003858,522404,29.32M,15.26M,+108.5%,0.09%
580135101,MCD,McDonalds Corp.,360148,52520,104.4M,15.23M,+17.1%,0.31%
172908105,CTAS,Cintas Corp.,262633,79278,47.98M,14.48M,+43.2%,0.14%
007903107,AMD,Advanced Micro Devices Inc.,837034,117591,101.11M,14.2M,+16.3%,0.3%
75513E101,RTX,RTX Corporation (US),766196,121996,88.66M,14.12M,+18.9%,0.27%
858119100,STLD,Steel Dynamics Inc.,216000,121667,24.64M,13.88M,+129%,0.07%
713448108,PEP,PepsiCo Inc.,736064,90738,111.93M,13.8M,+14.1%,0.33%
532457108,LLY,Eli Lilly & Co.,613145,17696,473.35M,13.66M,+3%,1.4%
883203101,TXT,Textron Inc,177000,177000,13.54M,13.54M,NEW,0.04%
929740108,WAB,Westinghouse Air Brake Technologies Corp.,154225,70434,29.24M,13.35M,+84.1%,0.09%
12572Q105,CME,CME Group Inc,217876,56405,50.6M,13.1M,+34.9%,0.15%
872540109,TJX,TJX Cos Inc/The,640495,106685,77.38M,12.89M,+20%,0.23%
892356106,TSCO,Tractor Supply Co,289135,241305,15.34M,12.8M,+504.5%,0.05%
G0403H108,AON,Aon PLC,119633,35121,42.97M,12.61M,+41.6%,0.13%
00724F101,ADBE,Adobe Inc. (US),303319,27330,134.88M,12.15M,+9.9%,0.4%
482480100,KLAC,KLA Corporation,135786,18526,85.56M,11.67M,+15.8%,0.26%
654106103,NKE,Nike Inc B,1063287,148130,80.46M,11.21M,+16.2%,0.24%
172967424,C,Citigroup Inc. (US),949279,154233,66.82M,10.86M,+19.4%,0.2%
882508104,TXN,Texas Instruments Inc,494453,56495,92.71M,10.59M,+12.9%,0.28%
00846U101,A,Agilent Technologies Inc.,274780,78220,36.91M,10.51M,+39.8%,0.11%
G3265R107,APTV,Aptiv PLC,173561,173561,10.5M,10.5M,NEW,0.03%
92537N108,VRT,Vertiv Holdings Co,253544,92344,28.81M,10.49M,+57.3%,0.09%
