CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
957638109,WAL,WESTERN ALLIANCE BANCORP,70521,47405,6.12M,4.11M,+205.1%,0.15%
40415F101,HDB,HDFC BANK LTD,120054,120054,4.1M,4.1M,NEW,0.1%
50202M102,LI,LI AUTO INC,192222,154817,4.87M,3.92M,+413.9%,0.12%
87043Q108,SG,SWEETGREEN INC,487348,487348,3.89M,3.89M,NEW,0.1%
053332102,AZO,AUTOZONE INC,1076,901,4.61M,3.86M,+514.9%,0.12%
366651107,IT,GARTNER INC,14688,14688,3.86M,3.86M,NEW,0.1%
015271109,ARE,ALEXANDRIA REAL ESTATE EQ IN,50641,46297,4.22M,3.86M,+1065.8%,0.11%
37940X102,GPN,GLOBAL PMTS INC,59703,45961,4.96M,3.82M,+334.5%,0.12%
962879102,WPM,WHEATON PRECIOUS METALS CORP,33944,33944,3.8M,3.8M,NEW,0.1%
23331A109,DHI,D R HORTON INC,26495,22389,4.49M,3.79M,+545.3%,0.11%
406216101,HAL,HALLIBURTON CO,436269,147764,10.73M,3.63M,+51.2%,0.27%
46120E602,ISRG,INTUITIVE SURGICAL INC,8073,8072,3.61M,3.61M,+807200%,0.09%
G43658122,IMSRW,HCM II ACQUISITION CORP,1169212,594124,7.02M,3.56M,+103.3%,0.18%
02553E106,AEO,AMERICAN EAGLE OUTFITTERS IN,228958,208149,3.92M,3.56M,+1000.3%,0.1%
143130102,KMX,CARMAX INC,84265,77817,3.78M,3.49M,+1206.8%,0.09%
687793109,OSCR,OSCAR HEALTH INC,183715,183715,3.48M,3.48M,NEW,0.09%
M98068105,WIX,WIX COM LTD,23003,19284,4.09M,3.43M,+518.5%,0.1%
339750101,FND,FLOOR &amp; DECOR HLDGS INC,52120,45995,3.84M,3.39M,+750.9%,0.1%
91879Q109,MTN,VAIL RESORTS INC,21393,21393,3.2M,3.2M,NEW,0.08%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,12338,12338,3.19M,3.19M,NEW,0.08%
33829M101,FIVE,FIVE BELOW INC,20423,20423,3.16M,3.16M,NEW,0.08%
765504105,RR,RICHTECH ROBOTICS INC,757132,722131,3.25M,3.1M,+2063.2%,0.08%
808513105,SCHW,SCHWAB CHARLES CORP,32176,32176,3.07M,3.07M,NEW,0.08%
438516106,HON,HONEYWELL INTL INC,14589,14589,3.07M,3.07M,NEW,0.08%
N00985106,AER,AERCAP HOLDINGS NV,25344,25344,3.07M,3.07M,NEW,0.08%
M7S64H106,MNDY,MONDAY COM LTD,15683,15681,3.04M,3.04M,+784050%,0.08%
556269108,SHOO,MADDEN STEVEN LTD,110409,89317,3.7M,2.99M,+423.5%,0.09%
G51502105,JCI,JOHNSON CTLS INTL PLC,26891,26891,2.96M,2.96M,NEW,0.07%
256163106,DOCU,DOCUSIGN INC,79765,40575,5.75M,2.93M,+103.5%,0.14%
686688102,ORA,ORMAT TECHNOLOGIES INC,28857,28857,2.78M,2.78M,NEW,0.07%
00751Y106,AAP,ADVANCE AUTO PARTS INC,69868,44883,4.29M,2.76M,+179.6%,0.11%
81369Y803,XLK,SELECT SECTOR SPDR TR,9392,9392,2.65M,2.65M,NEW,0.07%
37637K108,GTLB,GITLAB INC,62360,57433,2.81M,2.59M,+1165.7%,0.07%
704326107,PAYX,PAYCHEX INC,46553,20383,5.9M,2.58M,+77.9%,0.15%
55306N104,MKSI,MKS INC.,20547,20547,2.54M,2.54M,NEW,0.06%
